BUKU 1,,,,,,,,,,,,,
,,,,,,,,,,,,,
Bab,Nota Perubahan,Kalimah Asal (Arab),Jamak/Mufrad,Terjemahan (BM),Terjemahan (BI),Nota BM,Nota English,Nota Nahu (Arab),Nota Nahu (BM),Nota Nahu (English),Nota Sarf (Arab),Nota Sarf (BM),Nota Sarf (English)
6,Nota asal ‘Isim Zaraf’ dibetulkan. Analisis diperincikan daripada ‘naib bagi maf‘ul mutlaq’ kepada maf‘ul mutlaq bagi kata kerja yang dibuang.,أَيْضًا,,Juga,Also,Digunakan untuk menambahkan maklumat yang sejenis dengan perkara yang telah disebut.,Used to add information of the same kind as something already mentioned.,مفعول مطلق منصوب بفعل محذوف وجوبًا تقديره آضَ,"Maf‘ul mutlaq yang mansub bagi kata kerja yang wajib dibuang, dengan anggaran آضَ.","An accusative cognate object governed by an obligatorily omitted verb, conventionally reconstructed as آضَ.",مصدر للفعل آضَ يَئِيضُ,Masdar bagi kata kerja آضَ يَئِيضُ.,A verbal noun of the verb آضَ يَئِيضُ.
6,,مِكْوَاةٌ,"مَكَاوٍ (J. Taksir, Mamnu‘ Min Sarf)",Seterika,Iron (appliance),,,اسم مفرد، مؤنث، معرب. جمعها مَكَاوٍ ممنوع من الصرف لصيغة منتهى الجموع، وحذفت ياؤه في الرفع والجر عند التنكير,Kalimah ini ialah isim mufrad muannath dan bersifat mu‘rab. Jamaknya مَكَاوٍ berasal daripada sighah muntaha al-jumu‘ dan mamnu‘ min al-sarf. Ya akhirnya digugurkan ketika nakirah dalam keadaan marfu‘ dan majrur.,A singular feminine noun. It is declinable. Its plural مَكَاوٍ belongs to ṣīghat muntahā al-jumūʿ and is diptotic; its final yāʾ is omitted in the indefinite nominative and genitive.,اسم آلة من كَوَى. جمعها مَكَاوٍ على وزن مَفَاعِل بعد الإعلال,Isim alat daripada كَوَى. Jamaknya مَكَاوٍ pada wazan مَفَاعِل selepas berlaku i‘lal.,A noun of instrument derived from كَوَى. Its plural مَكَاوٍ follows مَفَاعِل after vowel alteration.
6,,لِـ,,Untuk / Milik,For / Belonging to,,,حرف جر، مبني على الكسر، لا محل له من الإعراب,Harf jar yang mabni atas kasrah dan tidak mempunyai kedudukan i‘rab.,"A preposition, indeclinable on kasrah, with no syntactic case position.",,,
6,,دَرَّاجَةٌ,"دَرَّاجَاتٌ (J. Muannath Salim, Ruj: Bab 16)",Basikal,Bicycle,,,اسم مفرد، مؤنث، معرب,Kalimah ini ialah isim mufrad muannath dan bersifat mu‘rab.,A singular feminine noun. It is declinable.,جمعها دَرَّاجَاتٌ، جمع مؤنث سالم,Jamaknya دَرَّاجَاتٌ ialah jamak muannath salim.,Its plural دَرَّاجَاتٌ is a sound feminine plural.
6,,أَنَسٌ,,Anas,Anas,,,اسم علم، مذكر، معرب، مصروف,Nama khas muzakkar yang bersifat mu‘rab dan menerima tanwin.,A masculine proper name. It is declinable and fully triptote.,,,
6,Nota asal ‘Isim Zaraf (Penguat)’ dibetulkan dan diperincikan sebagai masdar mansub.,جِدًّا,,Sangat,Very,"Digunakan untuk menguatkan darjah sesuatu sifat. Dalam sesetengah konteks, terdapat lebih daripada satu wajah i‘rab.",Used to intensify the degree of an adjective. More than one grammatical analysis may be possible in some contexts.,مصدر منصوب، يُعرب غالبًا نائبًا عن المفعول المطلق للدلالة على شدة الصفة، وقد يُعرب حالًا بحسب السياق,Masdar yang mansub. Lazimnya dianalisis sebagai naib bagi maf‘ul mutlaq untuk menunjukkan kuatnya sesuatu sifat; dalam konteks tertentu ia juga boleh dianalisis sebagai hal.,"An accusative verbal noun, commonly analysed as a substitute for the cognate object to intensify an adjective; in some contexts it may also be analysed as a circumstantial accusative.",مصدر من جَدَّ يَجِدُّ,Masdar daripada جَدَّ يَجِدُّ.,A verbal noun derived from جَدَّ يَجِدُّ.
6,,مِلْعَقَةٌ,"مَلَاعِقُ (J. Taksir, Mamnu‘ Min Sarf)",Sudu,Spoon,,,اسم مفرد، مؤنث، معرب. جمعها مَلَاعِقُ ممنوع من الصرف لصيغة منتهى الجموع,Kalimah ini ialah isim mufrad muannath dan bersifat mu‘rab. Bentuk jamaknya مَلَاعِقُ ialah mamnu‘ min al-sarf kerana berada pada sighah muntaha al-jumu‘.,A singular feminine noun. It is declinable. Its plural مَلَاعِقُ is diptotic because it follows ṣīghat muntahā al-jumūʿ.,اسم آلة من لَعِقَ، على وزن مِفْعَلَة. جمعها مَلَاعِقُ على وزن مَفَاعِل,Isim alat daripada لَعِقَ pada wazan مِفْعَلَة. Jamaknya مَلَاعِقُ pada wazan مَفَاعِل.,A noun of instrument derived from لَعِقَ on the pattern مِفْعَلَة. Its plural مَلَاعِقُ follows مَفَاعِل.
6,,قِدْرٌ,قُدُورٌ (J. Taksir),Periuk,Pot,,,اسم مفرد، مؤنث، معرب,Kalimah ini ialah isim mufrad muannath dan bersifat mu‘rab.,A singular feminine noun. It is declinable.,جمعها قُدُورٌ، جمع تكسير على وزن فُعُول,Jamaknya قُدُورٌ ialah jamak taksir pada wazan فُعُول.,Its plural قُدُورٌ is a broken plural on the pattern فُعُول.
6,,بَقَرَةٌ,"بَقَرَاتٌ (J. Muannath Salim, Ruj: Bab 20)",Lembu betina,Cow,Kalimah ini ialah mufrad unit bagi بَقَرٌ.,This is the unit noun corresponding to the collective noun بَقَرٌ.,اسم مفرد، مؤنث، معرب,Kalimah ini ialah isim mufrad muannath dan bersifat mu‘rab.,A singular feminine noun. It is declinable.,جمعها بَقَرَاتٌ، جمع مؤنث سالم، وهي واحدة بَقَرٍ,Jamaknya بَقَرَاتٌ ialah jamak muannath salim. Ia juga merupakan mufrad unit bagi بَقَرٌ.,Its plural بَقَرَاتٌ is a sound feminine plural. It is also the unit noun of بَقَرٌ.
6,,فَلَّاحٌ,"فَلَّاحُونَ (J. Mz. Salim, Ruj: Bab 13)",Petani,Farmer,,,اسم مفرد، مذكر، معرب,Kalimah ini ialah isim mufrad muzakkar dan bersifat mu‘rab.,A singular masculine noun. It is declinable.,اسم حرفة على وزن فَعَّال، وهو من أوزان صيغة المبالغة أيضًا. جمعه فَلَّاحُونَ جمع مذكر سالم,"Nama pekerjaan pada wazan فَعَّال, yang juga merupakan salah satu wazan sighah mubalaghah. Jamaknya فَلَّاحُونَ ialah jamak muzakkar salim.","An occupational noun on the pattern فَعَّال, which is also a pattern of intensive forms. Its plural فَلَّاحُونَ is a sound masculine plural."
6,,أَنْفٌ,أُنُوفٌ (J. Taksir),Hidung,Nose,,,اسم مفرد، مذكر، معرب,Kalimah ini ialah isim mufrad muzakkar dan bersifat mu‘rab.,A singular masculine noun. It is declinable.,جمعه أُنُوفٌ، جمع تكسير على وزن فُعُول,Jamaknya أُنُوفٌ ialah jamak taksir pada wazan فُعُول.,Its plural أُنُوفٌ is a broken plural on the pattern فُعُول.
6,,فَمٌ,أَفْوَاهٌ (J. Taksir),Mulut,Mouth,"Apabila mim dibuang dan kalimah ini menjadi mudaf, bentuk فُو boleh mengikuti hukum al-asma’ al-khamsah.","When the mīm is omitted and the noun is used in annexation, the form فُو may follow the rules of the five nouns.",اسم مفرد، مذكر، معرب,Kalimah ini ialah isim mufrad muzakkar dan bersifat mu‘rab.,A singular masculine noun. It is declinable.,أصله فَوْهٌ، وجمعه أَفْوَاهٌ، جمع تكسير,Bentuk asalnya ialah فَوْهٌ. Jamaknya أَفْوَاهٌ ialah jamak taksir.,Its underlying form is فَوْهٌ. Its plural أَفْوَاهٌ is a broken plural.
6,,أُذُنٌ,آذَانٌ (J. Taksir),Telinga,Ear,,,اسم مفرد، مؤنث، معرب,Kalimah ini ialah isim mufrad muannath dan bersifat mu‘rab.,A singular feminine noun. It is declinable.,جمعها آذَانٌ، جمع تكسير على وزن أَفْعَال,Jamaknya آذَانٌ ialah jamak taksir pada wazan أَفْعَال.,Its plural آذَانٌ is a broken plural on the pattern أَفْعَال.
6,,عَيْنٌ,أَعْيُنٌ (J. Taksir),Mata,Eye,"Kalimah ini mempunyai beberapa makna lain seperti mata air dan pengintip, bergantung pada konteks.","It has several other meanings, including a spring and a spy, depending on context.",اسم مفرد، مؤنث، معرب,Kalimah ini ialah isim mufrad muannath dan bersifat mu‘rab.,A singular feminine noun. It is declinable.,جمعها أَعْيُنٌ، جمع تكسير على وزن أَفْعُل,Jamaknya أَعْيُنٌ ialah jamak taksir pada wazan أَفْعُل.,Its plural أَعْيُنٌ is a broken plural on the pattern أَفْعُل.
6,Bentuk jamak diseragamkan daripada أَيْدِي kepada bentuk kamus nakirah أَيْدٍ.,يَدٌ,أَيْدٍ (J. Taksir),Tangan,Hand,,,اسم مفرد، مؤنث، معرب,Kalimah ini ialah isim mufrad muannath dan bersifat mu‘rab.,A singular feminine noun. It is declinable.,جمعها أَيْدٍ، ويجمع أيضًا على أَيَادٍ,Jamaknya أَيْدٍ; bentuk أَيَادٍ juga direkodkan.,Its plural is أَيْدٍ; the form أَيَادٍ is also attested.
6,,رِجْلٌ,أَرْجُلٌ (J. Taksir),Kaki,Leg / Foot,,,اسم مفرد، مؤنث، معرب,Kalimah ini ialah isim mufrad muannath dan bersifat mu‘rab.,A singular feminine noun. It is declinable.,جمعها أَرْجُلٌ، جمع تكسير على وزن أَفْعُل,Jamaknya أَرْجُلٌ ialah jamak taksir pada wazan أَفْعُل.,Its plural أَرْجُلٌ is a broken plural on the pattern أَفْعُل.
6,,لَحْمٌ,"لُحُومٌ (J. Taksir, Ruj: Bab 16)",Daging,Meat,,,اسم جنس إفرادي، مذكر، معرب,Isim jins ifradi bagi suatu bahan. Kalimah ini muzakkar dan bersifat mu‘rab.,An individual generic mass noun. It is masculine and declinable.,جمعه لُحُومٌ، جمع تكسير على وزن فُعُول,Jamaknya لُحُومٌ ialah jamak taksir pada wazan فُعُول.,Its plural لُحُومٌ is a broken plural on the pattern فُعُول.
6,,ثَلَّاجَةٌ,ثَلَّاجَاتٌ (J. Muannath Salim),Peti sejuk,Refrigerator / Fridge,,,اسم مفرد، مؤنث، معرب,Kalimah ini ialah isim mufrad muannath dan bersifat mu‘rab.,A singular feminine noun. It is declinable.,اسم آلة حديث على وزن فَعَّالَة. جمعها ثَلَّاجَاتٌ جمع مؤنث سالم,Isim alat moden pada wazan فَعَّالَة. Jamaknya ثَلَّاجَاتٌ ialah jamak muannath salim.,A modern instrument noun on the pattern فَعَّالَة. Its plural ثَلَّاجَاتٌ is a sound feminine plural.
6,,دَجَاجَةٌ,"دَجَاجَاتٌ (J. Muannath Salim, Ruj: Bab 20)",Ayam betina,Hen,Kalimah ini ialah mufrad unit bagi دَجَاجٌ.,This is the unit noun corresponding to the collective noun دَجَاجٌ.,اسم مفرد، مؤنث، معرب,Kalimah ini ialah isim mufrad muannath dan bersifat mu‘rab.,A singular feminine noun. It is declinable.,جمعها دَجَاجَاتٌ، جمع مؤنث سالم، وهي واحدة دَجَاجٍ,Jamaknya دَجَاجَاتٌ ialah jamak muannath salim. Ia juga merupakan mufrad unit bagi دَجَاجٌ.,Its plural دَجَاجَاتٌ is a sound feminine plural. It is also the unit noun of دَجَاجٌ.
6,,نَافِذَةٌ,"نَوَافِذُ (J. Taksir, Mamnu‘ Min Sarf)",Tingkap,Window,,,اسم مفرد، مؤنث، معرب. جمعها نَوَافِذُ ممنوع من الصرف لصيغة منتهى الجموع,Kalimah ini ialah isim mufrad muannath dan bersifat mu‘rab. Bentuk jamaknya نَوَافِذُ ialah mamnu‘ min al-sarf kerana berada pada sighah muntaha al-jumu‘.,A singular feminine noun. It is declinable. Its plural نَوَافِذُ is diptotic because it follows ṣīghat muntahā al-jumūʿ.,اسم فاعل مؤنث من نَفَذَ في الأصل، ثم استعمل اسمًا للفتحة في الجدار. جمعها نَوَافِذُ على وزن فَوَاعِل,"Pada asalnya isim fa‘il muannath daripada نَفَذَ, kemudian digunakan sebagai nama tingkap. Jamaknya نَوَافِذُ pada wazan فَوَاعِل.","Originally the feminine active participle of نَفَذَ, it was lexicalized as a noun meaning window. Its plural follows فَوَاعِل."
6,,أَمْ,,Atau,Or,Dalam bab ini digunakan dalam soalan pilihan untuk menentukan salah satu daripada dua perkara.,"In this chapter, it is used in an alternative question to choose between two possibilities.",حرف عطف واستفهام، مبني على السكون، ويكون متصلًا في سؤال التعيين,"Harf ‘ataf dan istifham yang mabni atas sukun. Dalam soalan pilihan, ia berfungsi sebagai أَمْ muttasilah.","A coordinating and interrogative particle, indeclinable on sukūn. In an alternative question, it functions as connected أَمْ.",,,
6,,مُسْلِمٌ,"مُسْلِمُونَ (J. Mz. Salim, Ruj: Bab 13)",Muslim,Muslim,,,اسم مفرد، مذكر، معرب,Kalimah ini ialah isim mufrad muzakkar dan bersifat mu‘rab.,A singular masculine noun. It is declinable.,اسم فاعل من أَسْلَمَ، على وزن مُفْعِل. الفعل ثلاثي مزيد بالهمزة على وزن أَفْعَلَ,Isim fa‘il daripada أَسْلَمَ pada wazan مُفْعِل. Kata kerjanya thulathi mazid dengan hamzah pada wazan أَفْعَلَ.,An active participle derived from أَسْلَمَ on the pattern مُفْعِل. The verb is a form-IV augmented triliteral.
6,,شَايٌ,,Teh,Tea,,,اسم جنس إفرادي، مذكر، معرب,Isim jins ifradi bagi minuman. Kalimah ini muzakkar dan bersifat mu‘rab.,An individual generic mass noun referring to a drink. It is masculine and declinable.,,,
6,,قَهْوَةٌ,,Kopi,Coffee,,,اسم جنس إفرادي، مؤنث، معرب,Isim jins ifradi bagi minuman. Kalimah ini muannath dan bersifat mu‘rab.,An individual generic mass noun referring to a drink. It is feminine and declinable.,,,
6,,سَرِيعٌ,سِرَاعٌ (J. Taksir),Cepat,Fast / Quick,,,صفة مفردة، مذكرة، معربة,Kalimah ini ialah sifat mufrad muzakkar dan bersifat mu‘rab.,A singular masculine adjective. It is declinable.,صفة مشبهة من سَرُعَ، على وزن فَعِيل. جمعه سِرَاعٌ على وزن فِعَال,Sifah musyabbahah daripada سَرُعَ pada wazan فَعِيل. Jamaknya سِرَاعٌ pada wazan فِعَال.,A qualitative adjective derived from سَرُعَ on the pattern فَعِيل. Its plural سِرَاعٌ follows فِعَال.
6,Label ‘Mamnu‘ Min Sarf’ dibuang daripada آبَاءٌ kerana bentuk ini munṣarif: آبَاءٌ، آبَاءً، آبَاءٍ.,أَبٌ,"آبَاءٌ (J. Taksir, Ruj: Bab 13)",Ayah,Father,"Mengikuti hukum al-asma’ al-khamsah apabila memenuhi syarat, antaranya berbentuk mufrad dan menjadi mudaf.","It follows the special declension of the five nouns when the required conditions are met, including being singular and used in annexation.",اسم مفرد، مذكر، معرب، ومن الأسماء الخمسة عند تحقق شروطها,Isim mufrad muzakkar dan mu‘rab. Ia termasuk al-asma’ al-khamsah apabila syarat-syaratnya dipenuhi.,A singular masculine and declinable noun. It belongs to the five nouns when their governing conditions are met.,جمعه آبَاءٌ، جمع تكسير، وهو مصروف يقبل التنوين,"Jamaknya آبَاءٌ ialah jamak taksir dan bersifat munṣarif, iaitu menerima tanwin.","Its plural آبَاءٌ is a broken plural and is fully declinable, accepting tanwīn."
6,,حَمْدٌ,,Pujian,Praise,,,اسم مصدر، مذكر، معرب,Masdar yang muzakkar dan bersifat mu‘rab.,A masculine verbal noun. It is declinable.,مصدر للفعل حَمِدَ يَحْمَدُ,Masdar bagi kata kerja حَمِدَ يَحْمَدُ.,A verbal noun of حَمِدَ يَحْمَدُ.
6,,صَلَاةٌ,صَلَوَاتٌ (J. Muannath Salim),Solat,Prayer,,,اسم مصدر، مؤنث، معرب,Masdar yang muannath dan bersifat mu‘rab.,A feminine verbal noun. It is declinable.,مصدر للفعل صَلَّى، وجمعها صَلَوَاتٌ جمع مؤنث سالم,Masdar bagi kata kerja صَلَّى. Jamaknya صَلَوَاتٌ ialah jamak muannath salim.,A verbal noun of صَلَّى. Its plural صَلَوَاتٌ is a sound feminine plural.
6,,سَعْدٌ,,Sa‘ad,Sa'd,,,اسم علم، مذكر، معرب، مصروف,Nama khas muzakkar yang bersifat mu‘rab dan menerima tanwin.,A masculine proper name. It is declinable and fully triptote.,,,
6,,مُدِيرَةٌ,"مُدِيرَاتٌ (J. Muannath Salim, Ruj: Bab 16)",Pengurus / Pengetua (perempuan),Female manager / principal,,,اسم مفرد، مؤنث، معرب,Kalimah ini ialah isim mufrad muannath dan bersifat mu‘rab.,A singular feminine noun. It is declinable.,اسم فاعل مؤنث من أَدَارَ، على وزن مُفْعِلَة بعد الإعلال. جمعها مُدِيرَاتٌ,Isim fa‘il muannath daripada أَدَارَ pada wazan مُفْعِلَة selepas berlaku i‘lal. Jamaknya مُدِيرَاتٌ.,The feminine active participle of أَدَارَ on the pattern مُفْعِلَة after vowel alteration. Its plural is مُدِيرَاتٌ.
7,,تِلْكَ,,Itu,That,Digunakan untuk menunjukkan sesuatu yang jauh dan berbentuk mufrad muannath.,Used to point to a distant singular feminine referent.,اسم إشارة، للمفرد المؤنث البعيد، مبني,Isim isyarah bagi mufrad muannath yang jauh. Kalimah ini bersifat mabni.,A demonstrative pronoun for a distant singular feminine referent. It is indeclinable.,,,
7,,مُمَرِّضَةٌ,"مُمَرِّضَاتٌ (J. Muannath Salim, Ruj: Bab 13)",Jururawat,Nurse,Bentuk muzakkarnya ialah مُمَرِّضٌ.,Its masculine form is مُمَرِّضٌ.,اسم مفرد، مؤنث، معرب,Kalimah ini ialah isim mufrad muannath dan bersifat mu‘rab.,A singular feminine noun. It is declinable.,اسم فاعل مؤنث من مَرَّضَ، على وزن مُفَعِّلَة. الفعل ثلاثي مزيد بالتضعيف,Isim fa‘il muannath daripada مَرَّضَ pada wazan مُفَعِّلَة. Kata kerjanya thulathi mazid dengan tadh‘if.,A feminine active participle derived from مَرَّضَ on the pattern مُفَعِّلَة. The verb is a form-II augmented triliteral.
7,,بَطَّةٌ,بَطَّاتٌ (J. Muannath Salim),Itik,Duck,,,اسم مفرد، مؤنث، معرب,Kalimah ini ialah isim mufrad muannath dan bersifat mu‘rab.,A singular feminine noun. It is declinable.,جمعها بَطَّاتٌ، جمع مؤنث سالم,Jamaknya بَطَّاتٌ ialah jamak muannath salim.,Its plural بَطَّاتٌ is a sound feminine plural.
7,,بَيْضَةٌ,بَيْضَاتٌ (J. Muannath Salim),Telur,Egg,Kalimah ini ialah mufrad unit bagi بَيْضٌ.,This is the unit noun corresponding to the collective noun بَيْضٌ.,اسم مفرد، مؤنث، معرب,Kalimah ini ialah isim mufrad muannath dan bersifat mu‘rab.,A singular feminine noun. It is declinable.,جمعها بَيْضَاتٌ، جمع مؤنث سالم، وهي واحدة بَيْضٍ,Jamaknya بَيْضَاتٌ ialah jamak muannath salim. Ia juga merupakan mufrad unit bagi بَيْضٌ.,Its plural بَيْضَاتٌ is a sound feminine plural. It is also the unit noun of بَيْضٌ.
7,Ejaan jamak dibetulkan daripada نُوْقٌ kepada نُوقٌ; huruf mad tidak menerima tanda sukun tambahan.,نَاقَةٌ,نُوقٌ (J. Taksir),Unta betina,Female camel / She-camel,,,اسم مفرد، مؤنث، معرب,Kalimah ini ialah isim mufrad muannath dan bersifat mu‘rab.,A singular feminine noun. It is declinable.,جمعها نُوقٌ، جمع تكسير,Jamaknya نُوقٌ ialah jamak taksir.,Its plural نُوقٌ is a broken plural.
7,,مُؤَذِّنٌ,مُؤَذِّنُونَ (J. Mz. Salim),Muazzin,Muezzin,,,اسم مفرد، مذكر، معرب,Kalimah ini ialah isim mufrad muzakkar dan bersifat mu‘rab.,A singular masculine noun. It is declinable.,اسم فاعل من أَذَّنَ، على وزن مُفَعِّل. الفعل ثلاثي مزيد بالتضعيف,Isim fa‘il daripada أَذَّنَ pada wazan مُفَعِّل. Kata kerjanya thulathi mazid dengan tadh‘if.,An active participle derived from أَذَّنَ on the pattern مُفَعِّل. The verb is a form-II augmented triliteral.
7,,حَدِيقَةٌ,"حَدَائِقُ (J. Taksir, Mamnu‘ Min Sarf)",Taman,Garden,,,اسم مفرد، مؤنث، معرب. جمعها حَدَائِقُ ممنوع من الصرف لصيغة منتهى الجموع,Kalimah ini ialah isim mufrad muannath dan bersifat mu‘rab. Bentuk jamaknya حَدَائِقُ ialah mamnu‘ min al-sarf kerana berada pada sighah muntaha al-jumu‘.,A singular feminine noun. It is declinable. Its plural حَدَائِقُ is diptotic because it follows ṣīghat muntahā al-jumūʿ.,جمعها حَدَائِقُ، جمع تكسير على وزن فَعَائِل,Jamaknya حَدَائِقُ ialah jamak taksir pada wazan فَعَائِل.,Its plural حَدَائِقُ is a broken plural on the pattern فَعَائِل.
7,Nota asal ‘Isim Zaraf’ diperincikan kepada isim isyarah bagi tempat yang lazimnya berfungsi sebagai zarf makan.,هُنَا,,Di sini,Here,Digunakan untuk menunjukkan tempat yang dekat.,Used to indicate a nearby place.,اسم إشارة للمكان القريب، مبني على السكون، ويقع في محل نصب ظرف مكان بحسب السياق,"Isim isyarah bagi tempat yang dekat dan mabni atas sukun. Mengikut konteks, ia lazimnya berada pada محل nasab sebagai zarf makan.","A demonstrative of nearby place, indeclinable on sukūn. Depending on context, it commonly functions as an accusative adverb of place.",,,
8,Harakat akhir dibetulkan daripada مَحْمُودُ kepada مَحْمُودٌ; nama ini bukan mamnu‘ min al-sarf dan menerima tanwin.,مَحْمُودٌ,,Mahmud,Mahmud,,,اسم علم، مذكر، معرب، مصروف,Nama khas muzakkar yang bersifat mu‘rab dan menerima tanwin.,A masculine proper name. It is declinable and fully triptote.,اسم مفعول من حَمِدَ، على وزن مَفْعُول، واستعمل علمًا,"Pada asalnya isim maf‘ul daripada حَمِدَ pada wazan مَفْعُول, kemudian digunakan sebagai nama khas.","Originally a passive participle of حَمِدَ on the pattern مَفْعُول, it is used as a proper name."
8,,أَمَامَ,,Di hadapan,In front of,,,ظرف مكان، معرب، منصوب بحسب موقعه، وهو مضاف غالبًا,Zarf makan yang bersifat mu‘rab dan biasanya mansub mengikut kedudukannya. Lazimnya ia menjadi mudaf.,"A declinable adverb of place, normally accusative according to its syntactic position and commonly used as the first term of an annexation.",,,
8,,خَلْفَ,,Di belakang,Behind,,,ظرف مكان، معرب، منصوب بحسب موقعه، وهو مضاف غالبًا,Zarf makan yang bersifat mu‘rab dan biasanya mansub mengikut kedudukannya. Lazimnya ia menjadi mudaf.,"A declinable adverb of place, normally accusative according to its syntactic position and commonly used as the first term of an annexation.",,,
8,Ejaan dibetulkan daripada أَمْرِيكا kepada أَمْرِيكَا dengan penyeragaman harakat pada ya dan alif akhir.,أَمْرِيكَا,,Amerika,America,,,اسم علم أعجمي لبلد، مؤنث، معرب، ممنوع من الصرف للعلمية والعجمة,Nama khas asing bagi sebuah negara. Ia digunakan sebagai muannath dan mamnu‘ min al-sarf kerana sifat nama khas dan ‘ajam.,A foreign feminine proper name of a country. It is declinable but diptotic because of proper-name status and foreign origin.,,,
8,,عَبْدٌ,عِبَادٌ (J. Taksir),Hamba,Servant / Worshipper,"Bergantung pada konteks, boleh bermaksud hamba atau orang yang beribadah. Bentuk عَبِيدٌ juga digunakan sebagai jamak.","Depending on context, it may mean a servant, slave, or worshipper. The plural عَبِيدٌ is also used.",اسم مفرد، مذكر، معرب,Kalimah ini ialah isim mufrad muzakkar dan bersifat mu‘rab.,A singular masculine noun. It is declinable.,جمعه عِبَادٌ على وزن فِعَال، ويجمع أيضًا على عَبِيدٍ,Jamaknya عِبَادٌ pada wazan فِعَال; bentuk عَبِيدٌ juga digunakan.,Its plural عِبَادٌ follows the pattern فِعَال; the form عَبِيدٌ is also used.
8,Ejaan jamak dibetulkan daripada سَكَاكِيْنُ kepada سَكَاكِينُ; ya mad tidak menerima tanda sukun tambahan.,سِكِّينٌ,"سَكَاكِينُ (J. Taksir, Mamnu‘ Min Sarf)",Pisau,Knife,,,اسم مفرد، مؤنث، معرب. جمعها سَكَاكِينُ ممنوع من الصرف لصيغة منتهى الجموع,Kalimah ini ialah isim mufrad muannath dan bersifat mu‘rab. Bentuk jamaknya سَكَاكِينُ ialah mamnu‘ min al-sarf kerana berada pada sighah muntaha al-jumu‘.,A singular feminine noun. It is declinable. Its plural سَكَاكِينُ is diptotic because it follows ṣīghat muntahā al-jumūʿ.,جمعها سَكَاكِينُ، جمع تكسير على وزن فَعَالِيل,Jamaknya سَكَاكِينُ ialah jamak taksir pada wazan فَعَالِيل.,Its plural سَكَاكِينُ is a broken plural on the pattern فَعَالِيل.
8,,أَلْمَانِيَا,,Jerman,Germany,,,اسم علم أعجمي لبلد، مؤنث، معرب، ممنوع من الصرف للعلمية والعجمة,Nama khas asing bagi sebuah negara. Ia digunakan sebagai muannath dan mamnu‘ min al-sarf kerana sifat nama khas dan ‘ajam.,A foreign feminine proper name of a country. It is declinable but diptotic because of proper-name status and foreign origin.,,,
8,Ejaan dibetulkan daripada الْكَلْتَرَا kepada إِنْكِلْتَرَا.,إِنْكِلْتَرَا,,England,England,,,اسم علم أعجمي لبلد، مؤنث، معرب، ممنوع من الصرف للعلمية والعجمة,Nama khas asing bagi sebuah negara. Ia digunakan sebagai muannath dan mamnu‘ min al-sarf kerana sifat nama khas dan ‘ajam.,A foreign feminine proper name of a country. It is declinable but diptotic because of proper-name status and foreign origin.,,,
8,,سُوَيْسْرَا,,Switzerland,Switzerland,,,اسم علم أعجمي لبلد، مؤنث، معرب، ممنوع من الصرف للعلمية والعجمة,Nama khas asing bagi sebuah negara. Ia digunakan sebagai muannath dan mamnu‘ min al-sarf kerana sifat nama khas dan ‘ajam.,A foreign feminine proper name of a country. It is declinable but diptotic because of proper-name status and foreign origin.,,,
8,Label ‘Mamnu‘ Min Sarf’ dibuang daripada دَكَاتِرَةٌ kerana bentuk ini munṣarif: دَكَاتِرَةٌ، دَكَاتِرَةً، دَكَاتِرَةٍ.,دُكْتُورٌ,دَكَاتِرَةٌ (J. Taksir),Doktor,Doctor,Kata pinjaman yang digunakan dalam bahasa Arab moden.,A loanword used in Modern Arabic.,اسم مفرد، مذكر، معرب. جمعه دَكَاتِرَةٌ مصروف يقبل التنوين,Kalimah ini ialah isim mufrad muzakkar dan bersifat mu‘rab. Bentuk jamaknya دَكَاتِرَةٌ bersifat munṣarif dan menerima tanwin.,A singular masculine noun. It is declinable. Its plural دَكَاتِرَةٌ is fully declinable and accepts tanwīn.,جمعه دَكَاتِرَةٌ، جمع تكسير,Jamaknya دَكَاتِرَةٌ ialah jamak taksir.,Its plural دَكَاتِرَةٌ is a broken plural.
8,,فِرَنْسَا,,Perancis,France,,,اسم علم أعجمي لبلد، مؤنث، معرب، ممنوع من الصرف للعلمية والعجمة,Nama khas asing bagi sebuah negara. Ia digunakan sebagai muannath dan mamnu‘ min al-sarf kerana sifat nama khas dan ‘ajam.,A foreign feminine proper name of a country. It is declinable but diptotic because of proper-name status and foreign origin.,,,
8,Harakat akhir dibetulkan daripada مُسْتَشْفَى kepada مُسْتَشْفًى bagi bentuk nakirah; label ‘Mamnu‘ Min Sarf’ dibuang.,مُسْتَشْفًى,مُسْتَشْفَيَاتٌ (J. Muannath Salim),Hospital,Hospital,"Apabila dimasuki alif lam, bentuknya menjadi الْمُسْتَشْفَى dan tanwin digugurkan.","With the definite article, it becomes الْمُسْتَشْفَى and loses tanwīn.",اسم مفرد، مذكر، معرب بعلامات مقدرة، مصروف,Isim mufrad muzakkar yang bersifat mu‘rab dengan tanda i‘rab yang dianggarkan. Kalimah ini munṣarif dan menerima tanwin ketika nakirah.,"A singular masculine noun, declinable with estimated case endings. It is fully triptote and takes tanwīn when indefinite.",اسم مكان من اِسْتَشْفَى، على وزن مُسْتَفْعَل بعد الإعلال، وهو اسم مقصور,Isim makan daripada اِسْتَشْفَى pada wazan مُسْتَفْعَل selepas berlaku i‘lal. Kalimah ini ialah isim maqsur.,A noun of place derived from اِسْتَشْفَى on the pattern مُسْتَفْعَل after vowel alteration. It is a defective noun ending in alif (ism maqṣūr).
